,time,min,avg,max,norm_factor
270,1712359231.9179118,0.277,0.39526,0.434,0.47391
271,1712359343.3033078,0.346,0.44249,0.482,0.48145
272,1712359487.8782833,0.205,0.41033,0.486,0.4714
273,1712359899.2958813,0.329,0.41636,0.478,0.46487
274,1712359977.5544796,0.354,0.45355,0.482,0.44376
275,1712360066.8516836,0.229,0.40229,0.446,0.44627
276,1712360200.344242,0.181,0.3739,0.434,0.45105
277,1712360322.8273077,0.229,0.39526,0.458,0.45808
278,1712360745.2662408,0.197,0.39576,0.458,0.47291
279,1712360867.7421231,0.245,0.41159,0.49,0.46487
280,1712360990.191158,0.265,0.41787,0.474,0.46612
281,1712361112.7012477,0.382,0.43018,0.47,0.46411
282,1712361235.1644192,0.257,0.40782,0.474,0.47517
283,1712361657.6432028,0.301,0.42415,0.47,0.46512
284,1712361791.1562514,0.209,0.36988,0.45,0.46361
285,1712361902.5398216,0.277,0.42792,0.482,0.47642
286,1712362025.0271537,0.394,0.43295,0.482,0.47818
287,1712362092.2183068,0.253,0.39124,0.466,0.42617
288,1712362492.5849068,0.317,0.38923,0.434,0.46336
289,1712362626.1129575,0.269,0.38621,0.422,0.47416
290,1712362737.5198438,0.35,0.45003,0.474,0.44778
291,1712362871.056712,0.233,0.40481,0.426,0.46059
292,1712362993.507198,0.313,0.40506,0.474,0.47341
293,1712363416.0022092,0.197,0.3842,0.458,0.46461
294,1712363538.487759,0.333,0.43219,0.478,0.4523
295,1712363616.7459369,0.362,0.43395,0.486,0.442
296,1712363706.0811996,0.277,0.41561,0.458,0.44401
297,1712363828.5370257,0.374,0.41712,0.45,0.4513
298,1712364217.84781,0.398,0.41938,0.466,0.42592
299,1712364329.2798083,0.229,0.36837,0.446,0.42366
300,1712364451.7423785,0.285,0.34601,0.43,0.45029
301,1712364574.2003493,0.281,0.39953,0.454,0.47567
302,1712364685.592338,0.333,0.44124,0.486,0.45983999999999997
303,1712365130.1830451,0.205,0.37239,0.406,0.4611
304,1712365241.5827026,0.325,0.39626,0.446,0.4425
305,1712365386.1824443,0.205,0.36938,0.406,0.47843
306,1712365497.5827017,0.321,0.40606,0.45,0.42617
307,1712365620.1240292,0.261,0.39375,0.442,0.45858
308,1712366042.5960064,0.213,0.38269,0.466,0.4616
309,1712366165.101087,0.346,0.40204,0.454,0.47291
310,1712366287.579767,0.346,0.42867,0.458,0.4616
311,1712366410.0628252,0.289,0.42114,0.47,0.45909
312,1712366532.5477307,0.354,0.42214,0.474,0.4611
313,1712366966.0738502,0.193,0.38219,0.454,0.47366
314,1712367077.514425,0.398,0.45857,0.47,0.44853
315,1712367177.860777,0.354,0.42264,0.454,0.43572
316,1712367311.4050708,0.301,0.37516,0.41,0.4626
317,1712367422.818279,0.35,0.42516,0.478,0.46487
318,1712367856.326978,0.281,0.38345,0.414,0.47039
319,1712367978.811021,0.249,0.40028,0.466,0.4425
320,1712368101.248059,0.289,0.39375,0.418,0.46461
321,1712368223.7060657,0.257,0.4028,0.466,0.47265
322,1712368346.1398664,0.229,0.41285,0.478,0.46085
323,1712368768.6287954,0.229,0.38822,0.466,0.44904
324,1712368846.8797898,0.321,0.40707,0.462,0.42391
325,1712368914.1097116,0.329,0.42867,0.47,0.43145
