,time,x,z
2563,1712473341.010549,0.0,20.0
2564,1712473408.2037003,0.0,-10.0
2565,1712473419.2479074,-10.0,0.0
2566,1712473463.4286013,0.0,15.0
2567,1712473830.682293,0.0,-10.0
2568,1712473841.7366436,-10.0,0.0
2569,1712473885.8934236,0.0,15.0
2570,1712473964.154283,0.0,-15.0
2571,1712473975.2115066,-10.0,0.0
2572,1712474030.4594495,0.0,20.0
2573,1712474097.670598,0.0,-10.0
2574,1712474108.7288678,-10.0,0.0
2575,1712474152.8868997,0.0,15.0
2576,1712474220.1539526,0.0,-10.0
2577,1712474231.208985,-10.0,0.0
2578,1712474264.359201,0.0,10.0
2579,1712474320.5611944,0.0,-5.0
2580,1712474331.6100695,-10.0,0.0
2581,1712474364.741967,0.0,10.0
2582,1712474731.9855442,0.0,-10.0
2583,1712474743.0420618,-10.0,0.0
2584,1712474787.2137337,0.0,15.0
2585,1712474865.4967797,0.0,-15.0
2586,1712474876.543807,-10.0,0.0
2587,1712474931.7828884,0.0,20.0
2588,1712474999.026157,0.0,-10.0
2589,1712475010.0845544,-10.0,0.0
2590,1712475054.2732365,0.0,15.0
2591,1712475121.5150714,0.0,-10.0
2592,1712475132.5700276,-10.0,0.0
2593,1712475176.7604058,0.0,15.0
2594,1712475255.057296,0.0,-15.0
2595,1712475266.1181917,-10.0,0.0
2596,1712475321.3171308,0.0,20.0
2597,1712475688.5573804,0.0,-10.0
2598,1712475699.6087794,-10.0,0.0
2599,1712475743.7776182,0.0,15.0
2600,1712475811.0512774,0.0,-10.0
2601,1712475822.1097648,-10.0,0.0
2602,1712475866.290701,0.0,15.0
2603,1712475933.5358765,0.0,-10.0
2604,1712475944.600333,-10.0,0.0
2605,1712475988.7840586,0.0,15.0
2606,1712476055.9948957,0.0,-10.0
2607,1712476067.0463116,-10.0,0.0
2608,1712476100.161933,0.0,10.0
2609,1712476167.3842552,0.0,-10.0
2610,1712476178.438645,-10.0,0.0
2611,1712476222.616537,0.0,15.0
2612,1712476589.845439,0.0,-10.0
2613,1712476600.899837,-10.0,0.0
2614,1712476645.0702984,0.0,15.0
2615,1712476712.3351104,0.0,-10.0
2616,1712476723.38383,-10.0,0.0
2617,1712476767.5780396,0.0,15.0
2618,1712476834.8134513,0.0,-10.0
2619,1712476845.8787048,-10.0,0.0
2620,1712476890.0742998,0.0,15.0
2621,1712476968.372342,0.0,-15.0
2622,1712476979.4274275,-10.0,0.0
2623,1712477034.654829,0.0,20.0
2624,1712477101.8903935,0.0,-10.0
2625,1712477112.9308043,-10.0,0.0
2626,1712477157.1163177,0.0,15.0
2627,1712477524.3399644,0.0,-10.0
2628,1712477535.3947983,-10.0,0.0
2629,1712477579.5731163,0.0,15.0
2630,1712477657.8772242,0.0,-15.0
2631,1712477668.9289732,-10.0,0.0
2632,1712477724.1887467,0.0,20.0
2633,1712477802.474985,0.0,-15.0
2634,1712477813.5328927,-10.0,0.0
2635,1712477868.7809138,0.0,20.0
2636,1712477936.0002198,0.0,-10.0
2637,1712477947.0523973,-10.0,0.0
2638,1712477991.2359128,0.0,15.0
2639,1712478069.560406,0.0,-15.0
2640,1712478080.618251,-10.0,0.0
2641,1712478135.83335,0.0,20.0
2642,1712478514.143438,0.0,-15.0
2643,1712478525.185408,-10.0,0.0
2644,1712478580.4185326,0.0,20.0
2645,1712478647.6603944,0.0,-10.0
2646,1712478658.7243655,-10.0,0.0
2647,1712478702.9031641,0.0,15.0
2648,1712478770.1564672,0.0,-10.0
2649,1712478781.2146502,-10.0,0.0
2650,1712478825.3818343,0.0,15.0
2651,1712478892.6363864,0.0,-10.0
2652,1712478903.6912344,-10.0,0.0
2653,1712478947.8757684,0.0,15.0
2654,1712479026.1602695,0.0,-15.0
2655,1712479037.2093794,-10.0,0.0
2656,1712479092.4611683,0.0,20.0
2657,1712479470.768706,0.0,-15.0
2658,1712479481.8183773,-10.0,0.0
2659,1712479537.0504081,0.0,20.0
2660,1712479604.28468,0.0,-10.0
2661,1712479615.3376613,-10.0,0.0
2662,1712479659.5316508,0.0,15.0
2663,1712479726.7462559,0.0,-10.0
2664,1712479737.8071587,-10.0,0.0
2665,1712479781.9853349,0.0,15.0
2666,1712479860.3143308,0.0,-15.0
2667,1712479871.3639383,-10.0,0.0
2668,1712479926.6358814,0.0,20.0
2669,1712479993.8648133,0.0,-10.0
2670,1712480004.907037,-10.0,0.0
2671,1712480049.060426,0.0,15.0
2672,1712480427.337857,0.0,-15.0
2673,1712480438.3930633,-10.0,0.0
2674,1712480493.624776,0.0,20.0
2675,1712480571.8942678,0.0,-15.0
2676,1712480582.9389842,-10.0,0.0
2677,1712480638.172556,0.0,20.0
2678,1712480716.4737947,0.0,-15.0
2679,1712480727.5341349,-10.0,0.0
2680,1712480782.781078,0.0,20.0
2681,1712480850.0012448,0.0,-10.0
2682,1712480861.0635664,-10.0,0.0
2683,1712480905.2551734,0.0,15.0
2684,1712480983.5691688,0.0,-15.0
2685,1712480994.6268108,-10.0,0.0
2686,1712481038.8142579,0.0,15.0
